transition_id,episode_id,episode_name,category,stage,known_at_date,directness,scope,certainty,base_strength,direction_up,direction_down,half_life_months,floor_ratio,max_active_months,official_source_name,official_source_url,short_summary
T_CORE_05,EP_CORE_ADCVD,부식방지강판(CORE) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,IMPLEMENTED,2016-07-25,3,2,1.0,0.888889,1.0,0.1,6.0,0.15,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/07/25/2016-17563/certain-corrosion-resistant-steel-products-from-india-italy-republic-of-korea-and-the-peoples,부식방지강판 상계관세 명령이 발효됐다.
T_CTL_01,EP_CTL_PLATE_ADCVD,탄소·합금 후판(cut-to-length plate) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,ANNOUNCED,2016-09-13,3,2,0.6,0.755556,1.0,0.1,3.0,0.1,12,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/09/13/2016-21999/certain-carbon-and-alloy-steel-cut-to-length-plate-from-the-peoples-republic-of-china-preliminary,중국산 후판에 대한 상계관세 예비 긍정판정이 내려졌다.
T_CRS_05,EP_CRS_ADCVD,냉연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,IMPLEMENTED,2016-09-20,3,2,1.0,0.888889,1.0,0.1,6.0,0.15,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/09/20/2016-22613/certain-cold-rolled-steel-flat-products-from-brazil-india-the-republic-of-korea-and-the-united,브라질·인도·한국·영국산 냉연강판 반덤핑 관세 명령이 발효됐다.
T_HRS_03,EP_HRS_ADCVD,열연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,IMPLEMENTED,2016-10-03,3,2,1.0,0.888889,1.0,0.1,6.0,0.15,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/10/03/2016-23835/certain-hot-rolled-steel-flat-products-from-brazil-and-the-republic-of-korea-amended-final,브라질·한국산 열연강판 상계관세 명령이 발효됐다.
T_HRS_04,EP_HRS_ADCVD,열연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,IMPLEMENTED,2016-10-03,3,2,1.0,0.888889,1.0,0.1,6.0,0.15,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/10/03/2016-23836/certain-hot-rolled-steel-flat-products-from-australia-brazil-japan-the-republic-of-korea-the,7개국산 열연강판 반덤핑 관세 명령이 발효됐다.
T_CORE_06,EP_CORE_ADCVD,부식방지강판(CORE) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,ESCALATED,2016-11-14,3,2,1.0,0.888889,1.0,0.1,4.0,0.2,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/11/14/2016-27327/certain-corrosion-resistant-steel-products-from-the-peoples-republic-of-china-initiation-of,우회수출 조사 개시로 기존 명령의 적용 범위가 확대되는 절차가 시작됐다.
T_CTL_02,EP_CTL_PLATE_ADCVD,탄소·합금 후판(cut-to-length plate) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,ANNOUNCED,2016-11-14,3,2,0.6,0.755556,1.0,0.1,3.0,0.1,12,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/11/14/2016-27312/certain-carbon-and-alloy-steel-cut-to-length-plate-from-the-peoples-republic-of-china-preliminary,중국산 후판에 대한 반덤핑 예비 긍정판정이 내려졌다.
T_CRS_06,EP_CRS_ADCVD,냉연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,ESCALATED,2016-11-17,3,2,1.0,0.888889,1.0,0.1,4.0,0.2,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/11/17/2016-27850/certain-cold-rolled-steel-flat-products-from-the-peoples-republic-of-china-initiation-of,중국산 냉연강판 우회수출 조사가 개시되며 적용 범위 확대 절차가 시작됐다.
T_S232_01,EP_S232_STEEL,Section 232 철강 국가안보 관세,TRADE_TARIFF_SANCTION,SIGNALLED,2017-04-26,3,3,0.2,0.733333,1.0,0.35,2.0,0.0,6,"U.S. Federal Register (Dept. of Commerce, BIS)",https://www.federalregister.gov/documents/2017/04/26/2017-08499/notice-request-for-public-comments-and-public-hearing-on-section-232-national-security-investigation,상무부가 철강 수입이 국가안보에 미치는 영향을 조사한다고 공고했다.
T_S232_02,EP_S232_STEEL,Section 232 철강 국가안보 관세,TRADE_TARIFF_SANCTION,IMPLEMENTED,2018-03-15,3,3,1.0,1.0,1.0,0.35,6.0,0.15,,U.S. Federal Register (Proclamation 9705),https://www.federalregister.gov/documents/2018/03/15/2018-05478/adjusting-imports-of-steel-into-the-united-states,대부분 국가의 철강 수입에 25% 종가세를 부과하는 대통령 포고가 게재됐다.
T_S301_01,EP_S301_CHINA,Section 301 대중국 관세,TRADE_TARIFF_SANCTION,ANNOUNCED,2018-06-20,2,3,0.6,0.755556,0.7,0.5,3.0,0.1,12,U.S. Federal Register (USTR),https://www.federalregister.gov/documents/2018/06/20/2018-13248/notice-of-action-and-request-for-public-comment-concerning-proposed-determination-of-action-pursuant,USTR이 Section 301 1차 대상품목에 대한 추가관세 부과를 공식 통지했다.
T_S301_02,EP_S301_CHINA,Section 301 대중국 관세,TRADE_TARIFF_SANCTION,ANNOUNCED,2018-08-16,2,3,0.6,0.755556,0.7,0.5,3.0,0.1,12,U.S. Federal Register (USTR),https://www.federalregister.gov/documents/2018/08/16/2018-17709/notice-of-action-pursuant-to-section-301-chinas-acts-policies-and-practices-related-to-technology,Section 301 2차 대상품목에 대한 추가관세 조치가 공식 통지됐다.
T_S301_03,EP_S301_CHINA,Section 301 대중국 관세,TRADE_TARIFF_SANCTION,ESCALATED,2018-09-21,2,3,1.0,0.888889,0.7,0.5,4.0,0.2,,U.S. Federal Register (USTR),https://www.federalregister.gov/documents/2018/09/21/2018-20610/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to,Section 301 조치가 3차 대상품목까지 확대 수정됐다.
T_S232_03,EP_S232_STEEL,Section 232 철강 국가안보 관세,TRADE_TARIFF_SANCTION,ESCALATED,2020-01-29,3,3,1.0,1.0,1.0,0.35,4.0,0.2,,U.S. Federal Register (Presidential Proclamation),https://www.federalregister.gov/documents/2020/01/29/2020-01806/adjusting-imports-of-derivative-aluminum-articles-and-derivative-steel-articles-into-the-united,파생 철강·알루미늄 제품까지 Section 232 관세 대상이 확대됐다.
T_COVID_01,EP_COVID19,COVID-19 공중보건·국가 비상사태,PANDEMIC_EMERGENCY,ANNOUNCED,2020-02-07,2,3,0.6,0.755556,0.9,0.9,3.0,0.1,12,U.S. Federal Register (Dept. of Health and Human Services),https://www.federalregister.gov/documents/2020/02/07/2020-02496/determination-of-public-health-emergency,보건복지부가 신종 코로나바이러스에 대한 공중보건 비상사태를 공식 확정했다.
T_COVID_02,EP_COVID19,COVID-19 공중보건·국가 비상사태,PANDEMIC_EMERGENCY,IMPLEMENTED,2020-03-18,2,3,1.0,0.888889,0.9,0.9,6.0,0.15,,U.S. Federal Register (Proclamation 9994),https://www.federalregister.gov/documents/2020/03/18/2020-05794/declaring-a-national-emergency-concerning-the-novel-coronavirus-disease-covid-19-outbreak,COVID-19 확산이 국가비상사태에 해당한다고 선포한 포고가 게재됐다.
T_TXGRID_01,EP_TX_GRID_EMERGENCY_2021,2021년 2월 텍사스 전력계통 비상,ENERGY_SUPPLY,IMPLEMENTED,2021-02-14,2,1,1.0,0.666667,1.0,0.2,6.0,0.15,,U.S. Department of Energy (FPA Section 202(c) Order 202-21-1),https://www.energy.gov/oe/downloads/federal-power-act-section-202c-ercot-february-2021,에너지부가 극한 한파에 대응해 ERCOT 지역 발전설비 비상 가동 명령을 발령했다.
T_RUUA_01,EP_RU_UA_CONFLICT,러시아-우크라이나 분쟁 국가비상사태,GEOPOLITICAL_CONFLICT,ESCALATED,2022-02-23,2,3,1.0,0.888889,1.0,0.35,4.0,0.2,,U.S. Federal Register (Executive Order 14065),https://www.federalregister.gov/documents/2022/02/23/2022-04020/blocking-property-of-certain-persons-and-prohibiting-certain-transactions-with-respect-to-continued,우크라이나 주권 훼손에 대응해 해당 지역과의 투자·교역을 금지하는 행정명령이 게재됐다.
T_RUEN_01,EP_RU_ENERGY_BAN,러시아산 원유·석유제품·LNG·석탄 수입 금지,ENERGY_SUPPLY,IMPLEMENTED,2022-03-10,2,3,1.0,0.888889,1.0,0.0,6.0,0.15,,U.S. Federal Register (Executive Order 14066),https://www.federalregister.gov/documents/2022/03/10/2022-05232/prohibiting-certain-imports-and-new-investments-with-respect-to-continued-russian-federation-efforts,러시아산 원유·석유제품·LNG·석탄의 미국 수입을 금지했다.
T_RUS_01,EP_RUSSIA_SANCTIONS,대러시아 교역·투자·금속 제재,TRADE_TARIFF_SANCTION,IMPLEMENTED,2022-03-15,2,3,1.0,0.888889,0.9,0.4,6.0,0.15,,U.S. Federal Register (Executive Order 14068),https://www.federalregister.gov/documents/2022/03/15/2022-05554/prohibiting-certain-imports-exports-and-new-investment-with-respect-to-continued-russian-federation,러시아 관련 특정 품목의 수입·수출과 신규 투자를 금지했다.
T_RUS_02,EP_RUSSIA_SANCTIONS,대러시아 교역·투자·금속 제재,TRADE_TARIFF_SANCTION,ESCALATED,2022-04-08,2,3,1.0,0.888889,0.9,0.4,4.0,0.2,,U.S. Federal Register (Executive Order 14071),https://www.federalregister.gov/documents/2022/04/08/2022-07757/prohibiting-new-investment-in-and-certain-services-to-the-russian-federation-in-response-to,러시아에 대한 신규 투자와 특정 서비스 제공을 전면 금지했다.
T_COVID_03,EP_COVID19,COVID-19 공중보건·국가 비상사태,PANDEMIC_EMERGENCY,ENDED,2023-05-11,2,3,0.3,0.655556,0.0,0.8,3.0,0.0,9,U.S. CDC (MMWR),https://www.cdc.gov/mmwr/volumes/72/wr/mm7219e1.htm,연방 COVID-19 공중보건 비상사태 선언이 2023-05-11 자로 만료됐다.
T_REDSEA_01,EP_RED_SEA_DISRUPTION,홍해 항로 교란과 다국적 해상보호 작전,SHIPPING_LOGISTICS,ANNOUNCED,2023-12-18,2,3,0.6,0.755556,1.0,0.0,3.0,0.1,12,U.S. Department of Defense,https://www.defense.gov/News/News-Stories/Article/Article/3624836/,홍해 상선 공격에 대응해 20개국 이상이 참여하는 다국적 해상 보호 작전이 발표됐다.
T_YEM_01,EP_YEMEN_HOUTHI_STRIKES,예멘 후티 군사목표 타격,GEOPOLITICAL_CONFLICT,ESCALATED,2024-01-12,1,2,1.0,0.666667,0.8,0.0,4.0,0.2,,U.S. Department of Defense,https://www.defense.gov/News/News-Stories/Article/Article/3644027/,미국과 연합국이 예멘 내 후티 군사표적을 타격했다고 공식 발표했다.
T_RUUA_02,EP_RU_UA_CONFLICT,러시아-우크라이나 분쟁 국가비상사태,GEOPOLITICAL_CONFLICT,CONFIRMED,2024-03-05,2,3,0.75,0.805556,1.0,0.35,4.0,0.1,12,U.S. Federal Register (Presidential Notice),https://www.federalregister.gov/documents/2024/03/05/2024-04858/continuation-of-the-national-emergency-with-respect-to-ukraine,우크라이나 관련 국가비상사태가 연장됐음을 공식 통지했다.
T_BALT_01,EP_BALTIMORE_PORT_2024,볼티모어 Key Bridge 붕괴와 항로 폐쇄,SHIPPING_LOGISTICS,IMPLEMENTED,2024-03-26,1,1,1.0,0.555556,0.8,0.2,6.0,0.15,,U.S. Department of Transportation,https://www.transportation.gov/response-francis-scott-key-bridge-collapse-march-26-2024,Key Bridge 붕괴로 볼티모어항 Fort McHenry 항로의 정상 선박 통항이 중단됐다.
T_RUS_03,EP_RUSSIA_SANCTIONS,대러시아 교역·투자·금속 제재,TRADE_TARIFF_SANCTION,ESCALATED,2024-04-12,2,3,1.0,0.888889,0.9,0.4,4.0,0.2,,U.S. Department of the Treasury,https://home.treasury.gov/news/press-releases/jy2249,미국과 영국이 러시아산 알루미늄·구리·니켈의 수입과 주요 금속거래소 반입을 금지했다.
T_S301_04,EP_S301_CHINA,Section 301 대중국 관세,TRADE_TARIFF_SANCTION,ESCALATED,2024-05-20,2,3,1.0,0.888889,0.7,0.5,4.0,0.2,,U.S. Federal Register (USTR),https://www.federalregister.gov/documents/2024/05/20/2024-11193/actions-by-the-united-states-related-to-the-statutory-4-year-review-of-the-section-301-investigation,4년 주기 재검토 결과로 철강·알루미늄 품목 관세를 25%로 올리는 조치가 공표됐다.
T_S301_05,EP_S301_CHINA,Section 301 대중국 관세,TRADE_TARIFF_SANCTION,IMPLEMENTED,2024-09-18,2,3,1.0,0.888889,0.7,0.5,6.0,0.15,,U.S. Federal Register (USTR),https://www.federalregister.gov/documents/2024/09/18/2024-21217/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,4년 재검토에 따른 관세 인상 최종 수정안이 확정 게재됐다.
T_IEEPA_01,EP_IEEPA_TARIFFS_2025,2025년 IEEPA 기반 광범위 관세,TRADE_TARIFF_SANCTION,ANNOUNCED,2025-02-07,2,3,0.6,0.755556,0.8,0.6,3.0,0.1,12,U.S. Federal Register (Executive Order 14193),https://www.federalregister.gov/documents/2025/02/07/2025-02406/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,캐나다산 수입품에 IEEPA 근거 관세를 부과하는 행정명령이 게재됐다.
T_IEEPA_02,EP_IEEPA_TARIFFS_2025,2025년 IEEPA 기반 광범위 관세,TRADE_TARIFF_SANCTION,ANNOUNCED,2025-02-07,2,3,0.6,0.755556,0.8,0.6,3.0,0.1,12,U.S. Federal Register (Executive Order 14194),https://www.federalregister.gov/documents/2025/02/07/2025-02407/imposing-duties-to-address-the-situation-at-our-southern-border,멕시코산 수입품에 IEEPA 근거 관세를 부과하는 행정명령이 게재됐다.
T_IEEPA_03,EP_IEEPA_TARIFFS_2025,2025년 IEEPA 기반 광범위 관세,TRADE_TARIFF_SANCTION,ANNOUNCED,2025-02-07,2,3,0.6,0.755556,0.8,0.6,3.0,0.1,12,U.S. Federal Register (Executive Order 14195),https://www.federalregister.gov/documents/2025/02/07/2025-02408/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china,중국산 수입품에 IEEPA 근거 관세를 부과하는 행정명령이 게재됐다.
T_S232_04,EP_S232_STEEL,Section 232 철강 국가안보 관세,TRADE_TARIFF_SANCTION,ESCALATED,2025-02-18,3,3,1.0,1.0,1.0,0.35,4.0,0.2,,U.S. Federal Register (Proclamation 10896),https://www.federalregister.gov/documents/2025/02/18/2025-02833/adjusting-imports-of-steel-into-the-united-states,철강 및 일부 파생 제품 수입에 25% 종가세를 재부과했다.
T_IEEPA_04,EP_IEEPA_TARIFFS_2025,2025년 IEEPA 기반 광범위 관세,TRADE_TARIFF_SANCTION,ESCALATED,2025-04-07,2,3,1.0,0.888889,0.8,0.6,4.0,0.2,,U.S. Federal Register (Executive Order 14257),https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and,전 교역 상대를 대상으로 하는 상호관세 행정명령이 게재됐다.
T_IEEPA_05,EP_IEEPA_TARIFFS_2025,2025년 IEEPA 기반 광범위 관세,TRADE_TARIFF_SANCTION,DE_ESCALATED,2025-04-15,2,3,0.6,0.755556,0.8,0.6,4.0,0.05,12,U.S. Federal Register (Executive Order 14266),https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,상호관세율을 상대국 대응에 맞춰 수정하며 다수 상대국에 대해 인상분 적용을 유예했다.
T_S232_05,EP_S232_STEEL,Section 232 철강 국가안보 관세,TRADE_TARIFF_SANCTION,ESCALATED,2025-05-02,3,3,1.0,1.0,1.0,0.35,4.0,0.2,,U.S. Federal Register (Bureau of Industry and Security),https://www.federalregister.gov/documents/2025/05/02/2025-07676/adoption-and-procedures-of-the-section-232-steel-and-aluminum-tariff-inclusions-process,Section 232 관세 대상 파생 품목을 추가하는 공식 절차가 채택·시행됐다.
T_S232_06,EP_S232_STEEL,Section 232 철강 국가안보 관세,TRADE_TARIFF_SANCTION,ESCALATED,2025-06-09,3,3,1.0,1.0,1.0,0.35,4.0,0.2,,U.S. Federal Register (Proclamation 10947),https://www.federalregister.gov/documents/2025/06/09/2025-10524/adjusting-imports-of-aluminum-and-steel-into-the-united-states,철강·알루미늄 Section 232 관세율을 25%에서 50%로 인상했다.
T_IRAN_01,EP_IRAN_STRIKE_2025,2025년 6월 미국의 이란 핵시설 타격,GEOPOLITICAL_CONFLICT,ESCALATED,2025-06-22,1,3,1.0,0.777778,0.8,0.0,4.0,0.2,,U.S. Department of Defense / Department of War,https://www.war.gov/News/News-Stories/Article/Article/4222533/hegseth-caine-laud-success-of-us-strike-on-iran-nuke-sites/,국방장관과 합참의장이 이란 핵시설 3곳에 대한 미군 타격을 공식 브리핑했다.
